transaction_id,customer_id,action_taken,intervention_cost,recovery_probability_at_action,recovered
TXN-10000,CUST-1480,Payment Link,7,0.48,0
TXN-10000,CUST-1480,Payment Method Update,8,0.69,0
TXN-10000,CUST-1480,Human Review,10,0.59,1
TXN-10001,CUST-1008,Payment Reminder,5,0.57,1
TXN-10001,CUST-1008,Payment Link,7,0.48,0
TXN-10002,CUST-2407,Payment Reminder,5,0.324,1
TXN-10002,CUST-2407,Human Review,10,0.444,1
TXN-10002,CUST-2407,Payment Method Update,8,0.294,0
TXN-10003,CUST-1737,Smart Retry,3,0.444,0
TXN-10003,CUST-1737,Human Review,10,0.574,1
TXN-10003,CUST-1737,Payment Reminder,5,0.554,1
TXN-10004,CUST-3062,Payment Link,7,0.406,1
TXN-10004,CUST-3062,Payment Reminder,5,0.396,0
TXN-10005,CUST-3108,Payment Method Update,8,0.37,0
TXN-10005,CUST-3108,Payment Link,7,0.41,1
TXN-10006,CUST-2315,Payment Reminder,5,0.478,1
TXN-10006,CUST-2315,Payment Link,7,0.638,0
TXN-10007,CUST-2393,Payment Reminder,5,0.368,0
TXN-10007,CUST-2393,Payment Method Update,8,0.338,1
TXN-10007,CUST-2393,Payment Link,7,0.378,0
TXN-10008,CUST-1814,Delayed Retry,4,0.348,0
TXN-10008,CUST-1814,Smart Retry,3,0.598,1
TXN-10008,CUST-1814,Human Review,10,0.368,0
TXN-10009,CUST-2887,Payment Reminder,5,0.49,1
TXN-10009,CUST-2887,Payment Link,7,0.5,0
TXN-10010,CUST-1947,Delayed Retry,4,0.47,0
TXN-10010,CUST-1947,Payment Method Update,8,0.44,0
TXN-10010,CUST-1947,Payment Link,7,0.48,0
TXN-10011,CUST-2032,Payment Method Update,8,0.404,0
TXN-10011,CUST-2032,Human Review,10,0.554,1
TXN-10011,CUST-2032,Smart Retry,3,0.374,1
TXN-10012,CUST-1461,Smart Retry,3,0.62,1
TXN-10012,CUST-1461,Delayed Retry,4,0.42,0
