transaction_id,customer_id,amount,payment_method,failure_reason,previous_successful_payments,previous_recovery_success,recovery_attempts,customer_annual_value,recovered
TXN-10000,CUST-1480,5012.05,UPI,Card Expired,11,1,1,98640.12,1
TXN-10001,CUST-1008,5456.49,UPI,Insufficient Funds,11,1,1,65383.79,1
TXN-10002,CUST-2407,9537.18,Credit Card,Authentication Failed,7,0,3,86963.1,0
TXN-10003,CUST-1737,9302.25,UPI,Insufficient Funds,7,1,0,97423.31,1
TXN-10004,CUST-3062,13751.73,Net Banking,Temporary Bank/Network Error,8,0,0,130840.41,1
TXN-10005,CUST-3108,15810.98,Debit Card,Payment Gateway Timeout,12,0,1,52492.71,1
TXN-10006,CUST-2315,8140.84,Credit Card,Authentication Failed,9,1,0,49911.44,1
TXN-10007,CUST-2393,8763.99,Credit Card,Temporary Bank/Network Error,9,0,2,98465.78,1
TXN-10008,CUST-1814,5888.52,UPI,Payment Gateway Timeout,4,0,0,36471.25,0
TXN-10009,CUST-2887,5979.25,Debit Card,Card Expired,10,1,0,131259.23,1
TXN-10010,CUST-1947,2554.67,UPI,Temporary Bank/Network Error,10,1,1,135799.29,1
TXN-10011,CUST-2032,3978.06,Debit Card,Insufficient Funds,7,1,1,162669.18,0
TXN-10012,CUST-1461,4014.8,Debit Card,Payment Gateway Timeout,13,0,0,50915.44,1
TXN-10013,CUST-2452,7884.0,Debit Card,Authentication Failed,6,0,4,69817.11,0
TXN-10014,CUST-2701,5949.73,UPI,Temporary Bank/Network Error,7,1,1,26290.85,1
TXN-10015,CUST-1526,18509.08,Credit Card,Payment Gateway Timeout,8,0,1,88842.02,1
TXN-10016,CUST-1361,18242.39,Credit Card,Insufficient Funds,5,1,0,72629.9,0
TXN-10017,CUST-2438,11090.45,Wallet,Temporary Bank/Network Error,7,1,3,97080.51,1
TXN-10018,CUST-1845,11179.81,Credit Card,Insufficient Funds,9,0,2,95830.7,1
TXN-10019,CUST-1078,12486.98,UPI,Authentication Failed,6,1,5,97448.97,0
TXN-10020,CUST-1630,6637.97,Credit Card,Card Expired,11,0,1,67151.33,0
TXN-10021,CUST-2004,6696.16,UPI,Insufficient Funds,7,1,1,59745.62,0
TXN-10022,CUST-1749,4306.68,Wallet,Temporary Bank/Network Error,7,0,2,165132.22,1
TXN-10023,CUST-2166,5776.97,Wallet,Payment Gateway Timeout,7,1,3,115151.43,1
TXN-10024,CUST-3093,12377.08,UPI,Temporary Bank/Network Error,3,0,2,51532.33,0
TXN-10025,CUST-1465,7493.95,UPI,Temporary Bank/Network Error,7,1,1,103265.18,1
TXN-10026,CUST-3002,5826.61,Debit Card,Temporary Bank/Network Error,10,0,0,98150.28,1
TXN-10027,CUST-1549,6021.69,Credit Card,Payment Gateway Timeout,7,1,0,64775.97,1
TXN-10028,CUST-2526,7387.06,Debit Card,Payment Gateway Timeout,8,0,2,95223.67,0
TXN-10029,CUST-3323,12387.99,Debit Card,Authentication Failed,11,0,2,73204.8,0
TXN-10030,CUST-1683,3636.95,UPI,Insufficient Funds,8,1,1,54711.49,1
TXN-10031,CUST-2693,6102.63,Credit Card,Payment Gateway Timeout,11,1,0,69593.46,1
TXN-10032,CUST-2487,10786.86,UPI,Temporary Bank/Network Error,6,1,2,85558.52,1
TXN-10033,CUST-3199,3407.46,Net Banking,Insufficient Funds,7,0,2,47212.88,0
TXN-10034,CUST-2838,13576.07,Credit Card,Authentication Failed,13,0,1,146240.52,1
TXN-10035,CUST-2322,4615.21,Debit Card,Temporary Bank/Network Error,8,1,4,72352.11,1
TXN-10036,CUST-1666,9787.02,UPI,Payment Gateway Timeout,10,1,1,35812.59,1
TXN-10037,CUST-3346,7308.83,Net Banking,Insufficient Funds,6,1,2,108355.74,0
TXN-10038,CUST-3063,8359.54,Net Banking,Temporary Bank/Network Error,10,0,2,71862.15,1
TXN-10039,CUST-2739,3817.74,Net Banking,Card Expired,11,1,1,51245.57,1
TXN-10040,CUST-1738,7434.19,Debit Card,Authentication Failed,12,0,1,27285.25,0
TXN-10041,CUST-3476,5850.17,Wallet,Authentication Failed,11,1,1,98499.32,1
TXN-10042,CUST-3422,12754.42,UPI,Temporary Bank/Network Error,5,1,0,99511.95,1
TXN-10043,CUST-3325,5340.76,UPI,Payment Gateway Timeout,10,0,2,41325.92,1
TXN-10044,CUST-2490,6959.01,UPI,Temporary Bank/Network Error,11,0,3,81752.31,1
TXN-10045,CUST-2181,6051.33,Debit Card,Authentication Failed,7,1,1,105111.77,0
TXN-10046,CUST-1494,8503.63,UPI,Payment Gateway Timeout,4,1,1,147186.27,1
TXN-10047,CUST-1890,12765.24,Debit Card,Temporary Bank/Network Error,11,1,0,51858.5,0
TXN-10048,CUST-3299,7056.95,UPI,Card Expired,10,1,2,98227.71,1
TXN-10049,CUST-1720,8746.26,UPI,Payment Gateway Timeout,7,1,1,126048.73,1
TXN-10050,CUST-2496,4180.19,Credit Card,Authentication Failed,10,0,0,127593.78,0
TXN-10051,CUST-1426,7238.95,Debit Card,Insufficient Funds,8,1,1,52185.48,0
TXN-10052,CUST-2129,3815.93,Credit Card,Payment Gateway Timeout,8,1,1,44209.28,1
TXN-10053,CUST-2856,4470.51,Debit Card,Card Expired,7,1,3,41260.35,0
TXN-10054,CUST-1027,13056.48,Debit Card,Temporary Bank/Network Error,4,1,2,75693.48,1
TXN-10055,CUST-1464,6727.97,Debit Card,Card Expired,10,0,0,86376.62,0
TXN-10056,CUST-2578,5090.94,Debit Card,Authentication Failed,4,0,2,76924.93,0
TXN-10057,CUST-2903,7048.48,Wallet,Authentication Failed,12,1,2,63260.25,1
TXN-10058,CUST-2643,3480.86,Debit Card,Insufficient Funds,7,1,3,85603.46,0
TXN-10059,CUST-1516,16592.95,Credit Card,Temporary Bank/Network Error,8,1,1,149618.64,1
TXN-10060,CUST-2307,5473.79,Credit Card,Temporary Bank/Network Error,13,0,1,33599.99,1
TXN-10061,CUST-1130,7948.74,UPI,Insufficient Funds,6,1,3,106419.38,1
TXN-10062,CUST-2502,6121.62,UPI,Card Expired,7,1,3,104298.63,0
TXN-10063,CUST-2519,6770.9,UPI,Card Expired,8,0,1,70917.0,0
TXN-10064,CUST-3168,4208.4,Wallet,Insufficient Funds,9,1,2,39706.2,0
TXN-10065,CUST-2749,5946.74,Credit Card,Payment Gateway Timeout,11,1,4,76527.52,1
TXN-10066,CUST-2847,9790.82,Credit Card,Card Expired,8,0,1,75211.23,0
TXN-10067,CUST-1666,5099.22,Debit Card,Temporary Bank/Network Error,12,1,0,121857.12,1
TXN-10068,CUST-1156,6541.34,Credit Card,Temporary Bank/Network Error,8,0,1,118083.02,1
TXN-10069,CUST-2378,17335.32,Credit Card,Temporary Bank/Network Error,6,0,5,39936.79,0
TXN-10070,CUST-3253,7287.25,Credit Card,Payment Gateway Timeout,6,1,1,77896.66,1
TXN-10071,CUST-1164,4502.75,UPI,Authentication Failed,12,1,1,44975.16,1
TXN-10072,CUST-3353,12456.54,UPI,Temporary Bank/Network Error,6,1,4,67873.49,1
TXN-10073,CUST-2187,10728.24,Credit Card,Card Expired,8,0,1,125083.26,0
TXN-10074,CUST-2744,10849.69,Wallet,Insufficient Funds,7,0,1,174734.68,0
TXN-10075,CUST-2547,8099.09,Debit Card,Payment Gateway Timeout,8,1,0,60483.36,1
TXN-10076,CUST-1307,7928.97,UPI,Payment Gateway Timeout,10,1,4,68590.47,1
TXN-10077,CUST-1188,13993.79,Credit Card,Temporary Bank/Network Error,12,0,1,60736.59,1
TXN-10078,CUST-1503,6184.93,UPI,Insufficient Funds,9,1,3,86821.79,0
TXN-10079,CUST-1615,11601.07,Debit Card,Payment Gateway Timeout,5,0,2,105849.98,0
TXN-10080,CUST-1650,8162.47,Net Banking,Insufficient Funds,8,0,0,84086.86,0
TXN-10081,CUST-1419,10474.93,UPI,Card Expired,6,0,0,112025.43,0
TXN-10082,CUST-1700,7255.57,Debit Card,Temporary Bank/Network Error,6,1,1,64549.03,1
TXN-10083,CUST-2042,6186.82,UPI,Authentication Failed,9,1,2,87535.0,1
TXN-10084,CUST-1133,4755.16,UPI,Temporary Bank/Network Error,5,1,0,48947.57,1
TXN-10085,CUST-2393,4549.82,Debit Card,Authentication Failed,11,1,1,27467.13,1
TXN-10086,CUST-1089,12339.88,UPI,Card Expired,17,0,3,45184.33,0
TXN-10087,CUST-1664,4715.94,Debit Card,Payment Gateway Timeout,8,1,1,82771.25,1
TXN-10088,CUST-1894,9221.45,UPI,Payment Gateway Timeout,9,1,3,76621.8,1
TXN-10089,CUST-2975,6066.98,Net Banking,Card Expired,3,0,0,82665.84,0
TXN-10090,CUST-1693,4769.81,Credit Card,Insufficient Funds,7,1,0,91843.69,1
